variant,rollback_weak_conf_low,rollback_weak_conf_high,rollback_weak_low_sep_max,rollback_weak_high_sep_min,rows,rollback_rows,called_only_accuracy,bets,wins,losses,net_bnb,net_usd,pred_bull_acc,pred_bear_acc,pred_bull_run_acc,pred_bull_flip_acc,pred_bear_run_acc,pred_bear_flip_acc,remaining_false_neutral_rows,remaining_false_neutral_forced_win_rate,remaining_false_neutral_forced_net_bnb,input,stake_bnb,bnb_usd,win_fee_rate,gas_usd_roundtrip
v21_3_sweep,0.58,0.62,0.01,0.035,19799,1542,0.6586183769282361,13419,8838,4581,55.56136861313868,38059.5375,0.6536751630112626,0.6636186478788787,0.6534351145038167,0.6584517251377211,0.6618594660938938,0.6702096250369058,6350,0.4988976377952756,-3.3739562043795672,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.58,0.62,0.015,0.035,19799,1542,0.6586183769282361,13419,8838,4581,55.56136861313868,38059.5375,0.6536751630112626,0.6636186478788787,0.6534351145038167,0.6584517251377211,0.6618594660938938,0.6702096250369058,6350,0.4988976377952756,-3.3739562043795672,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.58,0.62,0.02,0.035,19799,1542,0.6586183769282361,13419,8838,4581,55.56136861313868,38059.5375,0.6536751630112626,0.6636186478788787,0.6534351145038167,0.6584517251377211,0.6618594660938938,0.6702096250369058,6350,0.4988976377952756,-3.3739562043795672,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.58,0.64,0.01,0.035,19799,1542,0.6586183769282361,13419,8838,4581,55.56136861313868,38059.5375,0.6536751630112626,0.6636186478788787,0.6534351145038167,0.6584517251377211,0.6618594660938938,0.6702096250369058,6350,0.4988976377952756,-3.3739562043795672,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.58,0.64,0.015,0.035,19799,1542,0.6586183769282361,13419,8838,4581,55.56136861313868,38059.5375,0.6536751630112626,0.6636186478788787,0.6534351145038167,0.6584517251377211,0.6618594660938938,0.6702096250369058,6350,0.4988976377952756,-3.3739562043795672,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.58,0.64,0.02,0.035,19799,1542,0.6586183769282361,13419,8838,4581,55.56136861313868,38059.5375,0.6536751630112626,0.6636186478788787,0.6534351145038167,0.6584517251377211,0.6618594660938938,0.6702096250369058,6350,0.4988976377952756,-3.3739562043795672,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.58,0.66,0.01,0.035,19799,1542,0.6586183769282361,13419,8838,4581,55.56136861313868,38059.5375,0.6536751630112626,0.6636186478788787,0.6534351145038167,0.6584517251377211,0.6618594660938938,0.6702096250369058,6350,0.4988976377952756,-3.3739562043795672,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.58,0.66,0.015,0.035,19799,1542,0.6586183769282361,13419,8838,4581,55.56136861313868,38059.5375,0.6536751630112626,0.6636186478788787,0.6534351145038167,0.6584517251377211,0.6618594660938938,0.6702096250369058,6350,0.4988976377952756,-3.3739562043795672,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.58,0.66,0.02,0.035,19799,1542,0.6586183769282361,13419,8838,4581,55.56136861313868,38059.5375,0.6536751630112626,0.6636186478788787,0.6534351145038167,0.6584517251377211,0.6618594660938938,0.6702096250369058,6350,0.4988976377952756,-3.3739562043795672,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.59,0.62,0.01,0.035,19799,1541,0.658592934863616,13418,8837,4581,55.547242700729925,38049.86125,0.6536238328145842,0.6636186478788787,0.6533292608430055,0.6584517251377211,0.6618594660938938,0.6702096250369058,6351,0.4989765391276964,-3.359830291970809,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.59,0.62,0.015,0.035,19799,1541,0.658592934863616,13418,8837,4581,55.547242700729925,38049.86125,0.6536238328145842,0.6636186478788787,0.6533292608430055,0.6584517251377211,0.6618594660938938,0.6702096250369058,6351,0.4989765391276964,-3.359830291970809,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
