window_center_index,window_type,relative_pos,window_center_epoch,epoch,truth,base,pred_bear_pm1_h018,trigger_bear_pm1_h018,ruleb_raw_warning,core_window_pm1,pm1_centered_soft,pm1_hinge_018,phase3,fs3,fast_alt,slow_retention,abs_hinge,transition_score_v23
397,REMAINING_FALSE_NEGATIVE,-1,321170,321168,Bear,Bull,Bull,0,0,0,0,0,0,0,0,1.975096135738568,0.2772903801904036,0
397,REMAINING_FALSE_NEGATIVE,0,321170,321170,Bull,Bear,Bear,0,1,0,0,0,0,0,0,1.9026312620244423,0.1617608164018711,1
397,REMAINING_FALSE_NEGATIVE,1,321170,321171,Bear,Neutral,Neutral,0,0,0,0,0,0,0,1,0.2949232746395864,0.1345712505980145,0
397,REMAINING_FALSE_NEGATIVE,2,321170,321172,Bull,Neutral,Neutral,0,1,0,0,0,1,1,0,1.0577835626609158,1.0,2
411,REMAINING_FALSE_NEGATIVE,-2,321189,321186,Bear,Bear,Bear,0,1,0,0,0,1,2,0,1.994928927382716,0.210832087757578,1
411,REMAINING_FALSE_NEGATIVE,-1,321189,321188,Bull,Neutral,Neutral,0,1,0,0,0,1,2,0,1.5152713386487449,0.42196178557606,1
411,REMAINING_FALSE_NEGATIVE,0,321189,321189,Bull,Bear,Bear,0,1,0,0,0,1,1,0,1.745798753163399,0.1896690382169991,1
411,REMAINING_FALSE_NEGATIVE,1,321189,321190,Bear,Neutral,Neutral,0,0,0,0,0,1,2,0,0.630396724152888,0.3289975451076585,0
411,REMAINING_FALSE_NEGATIVE,2,321189,321191,Bear,Bear,Bear,0,0,0,0,0,0,1,0,2.6879134246373724,0.0097824887632454,0
514,REMAINING_FALSE_NEGATIVE,-2,321304,321302,Bear,Neutral,Neutral,0,0,0,0,0,0,1,0,0.8480056458265608,0.3346402939651963,0
514,REMAINING_FALSE_NEGATIVE,-1,321304,321303,Bull,Bull,Bull,0,0,0,0,0,0,1,0,0.3349514959882071,0.3203849751929498,0
514,REMAINING_FALSE_NEGATIVE,0,321304,321304,Bull,Bear,Bear,0,1,0,0,0,0,1,1,1.4339076306314382,0.2391922753233023,1
514,REMAINING_FALSE_NEGATIVE,1,321304,321305,Bear,Neutral,Neutral,0,0,0,0,0,1,1,0,0.5269501706097799,1.0,2
514,REMAINING_FALSE_NEGATIVE,2,321304,321306,Bull,Bear,Bear,0,0,0,0,0,1,1,0,0.4125776010369009,0.2737402855598712,1
572,REMAINING_FALSE_NEGATIVE,-2,321371,321369,Bull,Neutral,Neutral,0,0,1,1,1,1,1,1,0.194734032937049,0.3009674892553203,0
572,REMAINING_FALSE_NEGATIVE,-1,321371,321370,Bear,Neutral,Neutral,0,0,0,0,0,1,1,1,0.1588814655769965,0.2748065804725368,1
572,REMAINING_FALSE_NEGATIVE,0,321371,321371,Bull,Bear,Bear,0,1,0,0,0,1,1,1,1.2457472309597506,0.2597700865159475,1
572,REMAINING_FALSE_NEGATIVE,1,321371,321372,Bear,Bear,Bear,0,0,0,0,0,1,1,0,0.4151955275901855,0.1377372587727716,1
572,REMAINING_FALSE_NEGATIVE,2,321371,321373,Bear,Bull,Bull,0,0,0,0,0,0,0,0,0.8765020699047454,0.1711766004546916,0
788,REMAINING_FALSE_NEGATIVE,-2,321610,321608,Bull,Neutral,Neutral,0,0,0,0,0,1,2,0,0.3504423776103067,0.1022363292418289,1
788,REMAINING_FALSE_NEGATIVE,-1,321610,321609,Bear,Neutral,Neutral,0,0,0,0,0,0,1,0,0.4199329694838525,0.2239156253844497,1
788,REMAINING_FALSE_NEGATIVE,0,321610,321610,Bull,Bear,Bear,0,1,0,0,0,0,1,0,1.2980760016143904,0.3325768538410291,1
788,REMAINING_FALSE_NEGATIVE,1,321610,321611,Bear,Neutral,Neutral,0,0,1,1,1,1,1,0,0.5684930988336419,1.0,2
788,REMAINING_FALSE_NEGATIVE,2,321610,321611,Bear,Neutral,Neutral,0,0,1,1,1,2,2,0,0.5684930988336419,1.0,2
