window_center_index,window_center_epoch,window_type,relative_pos,row_index,epoch,truth,base,pred_bear_core_a,trigger_bear_core_a,override_help_class_bear_core_a,ruleb_raw_warning,osc_core_a,osc_core_b,osc_core_c,slow_retention,abs_hinge,transition_score_v23,phase3,fs3,fast_alt,core_count,reason
219,320997,FALSE_NEGATIVE,2,221,320998,Bear,Neutral,Neutral,0,NO_EFFECT,0,1,1,0,0.7697532613055955,0.1021654883899352,1,2,2,0,2,false_negative|base=Neutral|truth=Bear|slow=0.7698|abs_hinge=0.1022|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|oscA|oscB
397,321170,FALSE_NEGATIVE,-2,395,321167,Bull,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.3471565745603584,1.0,1,0,0,0,0,false_negative|base=Neutral|truth=Bull|slow=0.3472|abs_hinge=1.0000|transition=1|phase3=0|fs3=0|fast_alt=0|core_count=0
397,321170,FALSE_NEGATIVE,-1,396,321168,Bear,Bull,Bull,0,NO_EFFECT,0,0,0,0,1.975096135738568,0.2772903801904036,0,0,0,0,0,false_negative|base=Bull|truth=Bear|slow=1.9751|abs_hinge=0.2773|transition=0|phase3=0|fs3=0|fast_alt=0|core_count=0
397,321170,FALSE_NEGATIVE,0,397,321170,Bull,Bear,Bear,0,NO_EFFECT,1,0,0,0,1.9026312620244423,0.1617608164018711,1,0,0,0,0,false_negative|base=Bear|truth=Bull|slow=1.9026|abs_hinge=0.1618|transition=1|phase3=0|fs3=0|fast_alt=0|core_count=0
397,321170,FALSE_NEGATIVE,1,398,321171,Bear,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.2949232746395864,0.1345712505980145,0,0,0,1,1,false_negative|base=Neutral|truth=Bear|slow=0.2949|abs_hinge=0.1346|transition=0|phase3=0|fs3=0|fast_alt=1|core_count=1
397,321170,FALSE_NEGATIVE,2,399,321172,Bull,Neutral,Neutral,0,NO_EFFECT,1,0,0,0,1.0577835626609158,1.0,2,1,1,0,0,false_negative|base=Neutral|truth=Bull|slow=1.0578|abs_hinge=1.0000|transition=2|phase3=1|fs3=1|fast_alt=0|core_count=0
411,321189,FALSE_NEGATIVE,-2,409,321186,Bear,Bear,Bear,0,NO_EFFECT,1,0,0,0,1.994928927382716,0.210832087757578,1,1,2,0,1,false_negative|base=Bear|truth=Bear|slow=1.9949|abs_hinge=0.2108|transition=1|phase3=1|fs3=2|fast_alt=0|core_count=1
411,321189,FALSE_NEGATIVE,-1,410,321188,Bull,Neutral,Neutral,0,NO_EFFECT,1,0,0,0,1.5152713386487449,0.42196178557606,1,1,2,0,1,false_negative|base=Neutral|truth=Bull|slow=1.5153|abs_hinge=0.4220|transition=1|phase3=1|fs3=2|fast_alt=0|core_count=1
411,321189,FALSE_NEGATIVE,0,411,321189,Bull,Bear,Bear,0,NO_EFFECT,1,0,0,0,1.745798753163399,0.1896690382169991,1,1,1,0,0,false_negative|base=Bear|truth=Bull|slow=1.7458|abs_hinge=0.1897|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0
411,321189,FALSE_NEGATIVE,1,412,321190,Bear,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.630396724152888,0.3289975451076585,0,1,2,0,1,false_negative|base=Neutral|truth=Bear|slow=0.6304|abs_hinge=0.3290|transition=0|phase3=1|fs3=2|fast_alt=0|core_count=1
