model,slow_retention_threshold,hinge_threshold,transition_min,bear_only,trigger_count,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision
pred_ruleb_s0_95_h0_3_t2_both,0.95,0.3,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_95_h0_3_t2_bear,0.95,0.3,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s1_0_h0_15_t2_both,1.0,0.15,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s1_0_h0_15_t2_bear,1.0,0.15,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s1_0_h0_2_t2_both,1.0,0.2,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s1_0_h0_2_t2_bear,1.0,0.2,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s1_0_h0_25_t2_both,1.0,0.25,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s1_0_h0_25_t2_bear,1.0,0.25,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s1_0_h0_3_t2_both,1.0,0.3,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s1_0_h0_3_t2_bear,1.0,0.3,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_9_h0_3_t1_bear,0.9,0.3,1,True,9,936,342,594,0.5555555555555556,0.36538461538461536,0.6346153846153846,0.5732484076433121,0.5405405405405406
pred_ruleb_s0_9_h0_25_t1_bear,0.9,0.25,1,True,16,936,335,601,0.5552238805970149,0.3579059829059829,0.6420940170940171,0.5732484076433121,0.5393258426966292
pred_ruleb_s0_85_h0_15_t1_bear,0.85,0.15,1,True,32,936,319,617,0.554858934169279,0.3408119658119658,0.6591880341880342,0.5732484076433121,0.5370370370370371
pred_ruleb_s0_85_h0_3_t1_bear,0.85,0.3,1,True,12,936,339,597,0.5545722713864307,0.36217948717948717,0.6378205128205128,0.5732484076433121,0.5384615384615384
pred_ruleb_s0_85_h0_25_t1_bear,0.85,0.25,1,True,19,936,332,604,0.5542168674698795,0.3547008547008547,0.6452991452991453,0.5732484076433121,0.5371428571428571
pred_ruleb_s0_85_h0_2_t1_bear,0.85,0.2,1,True,26,936,325,611,0.5538461538461539,0.3472222222222222,0.6527777777777778,0.5732484076433121,0.5357142857142857
