epoch,truth,pred_v22_base,pred_bear_core_a,pred_bear_pm1_soft,pred_bear_pm1_h018,pred_adaptive_v1,trigger_bear_core_a,trigger_bear_pm1_soft,trigger_bear_pm1_h018,trigger_adaptive_v1,override_help_class_bear_core_a,override_help_class_bear_pm1_soft,override_help_class_bear_pm1_h018,override_help_class_adaptive_v1,adaptive_policy,adaptive_reason,wrong_bear_rate,disagreement_density,transition_density,abs_hinge_mean,vol_expansion,winner_good_rate,winner_bad_rate,fallback_good_rate,fallback_bad_rate,slow_retention,hinge_torsion,transition_score_v23,phase_disagree_count_3,fs_disagree_count_3,fast_alt_3epoch,osc_core_count,ruleb_raw_warning,core_window_pm1,pm1_centered_soft,pm1_hinge_018
320826,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,base_pred=Neutral,,,,,,,,,,0.4629468759285373,0.003062826321608,1,1,1,0,0,0,0,0,0
320827,Bear,Bull,Bull,Bull,Bull,Bull,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,base_pred=Bull,,,,,,,,,,0.8859365861371771,0.1960980295204293,0,1,1,0,0,0,0,0,0
320828,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,base_pred=Neutral,,,,,,,,,,0.0459825987836666,0.7854033676473018,1,1,1,0,0,0,0,0,0
320829,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,ruleb_off,,,,,,,,,,1.1556554393864644,0.0692479932740063,0,0,0,1,1,0,0,0,0
320830,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,base_pred=Neutral,,,,,,,,,,1.0216994651946152,0.1252904978923537,1,1,1,1,1,0,1,0,0
320831,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,base_pred=Neutral,,,,,,,,,,2.8284301006442547,1.0,2,2,2,0,2,1,1,1,1
320832,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,base_pred=Neutral,,,,,,,,,,0.8639613520972489,0.8135419957477305,2,3,3,0,2,0,1,1,1
320833,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,base_pred=Bull,,,,,,,,,,0.4390630284360668,0.0799158732342291,0,2,2,0,2,0,1,0,0
320834,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,base_pred=Neutral,,,,,,,,,,0.582330948793242,0.0177335603137423,1,1,1,1,1,0,1,0,0
320835,Bear,Bull,Bull,Bull,Bull,Bull,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,base_pred=Bull,,,,,,,,,,0.6041818324229098,0.2659205260925855,0,0,0,1,1,0,0,0,0
320836,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,base_pred=Neutral,,,,,,,,,,0.8876275763705053,0.1867338169707574,1,1,1,1,1,0,0,0,0
320837,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,base_pred=Bull,,,,,,,,,,0.1341757583159051,0.0179410057957571,0,1,1,1,1,0,0,0,0
320838,Bull,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,base,ruleb_off,,,,,,,,,,1.730716967229455,0.0730884333140295,1,1,1,1,1,0,0,0,0
