cluster_id,start_row,end_row,length,start_epoch,end_epoch,trigger_types,truth_sequence,base_sequence,combo_sequence,good_combo_count,bad_combo_count
25,363,377,15,321129,321143,osc_tag,Bear -> Bull -> Bear -> Bull -> Bull -> Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bear -> Bull -> Bear -> Bear,Bull -> Bear -> Neutral -> Bull -> Bear -> Neutral -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral,Bull -> Bear -> Neutral -> Bull -> Bear -> Neutral -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral,0,0
26,379,381,3,321145,321147,osc_tag,Bear -> Bull -> Bull,Neutral -> Neutral -> Bull,Neutral -> Neutral -> Bull,0,0
27,383,400,18,321149,321174,ruleb_raw|osc|combo|osc_tag,Bull -> Bear -> Bull -> Bull -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear -> Unknown -> Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bull,Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Neutral -> Bull,Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Bull,1,0
28,403,404,2,321181,321182,osc_tag,Bull -> Bull,Neutral -> Bull,Neutral -> Bull,0,0
29,406,420,15,321184,321196,ruleb_raw|persist|osc|combo|osc_tag,Bull -> Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bear -> Bull -> Bear -> Bull -> Bull -> Bull -> Bull -> Bull,Bear -> Neutral -> Neutral -> Bear -> Neutral -> Bear -> Neutral -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bull -> Neutral,Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bull -> Neutral,1,1
30,422,429,8,321198,321204,osc_tag,Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull,Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear,Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear,0,0
31,433,453,21,321208,321232,ruleb_raw|osc|combo|osc_tag,Bull -> Bull -> Bear -> Bear -> Bull -> Bull -> Bull -> Bear -> Bear -> Bear -> Bear -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bear -> Bear -> Bear,Bear -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Bull -> Bull -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bear -> Neutral -> Bear,Bear -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Bull -> Bull -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear,0,1
32,456,467,12,321234,321244,ruleb_raw|osc|combo|osc_tag,Bull -> Bull -> Bear -> Bull -> Bear -> Bear -> Bear -> Bear -> Bull -> Bull -> Bull -> Bear,Neutral -> Bear -> Neutral -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Bear -> Bull -> Bull -> Neutral,Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Bear -> Bull -> Bull -> Neutral,1,0
33,469,481,13,321247,321261,ruleb_raw|osc|combo|osc_tag,Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull,Bear -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Bull -> Bear -> Neutral -> Bear -> Neutral,Bear -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Bull -> Bear -> Neutral -> Bear -> Neutral,0,1
34,483,487,5,321262,321277,osc_tag,Bear -> Bear -> Bear -> Bear -> Bear,Neutral -> Neutral -> Bear -> Neutral -> Neutral,Neutral -> Neutral -> Bear -> Neutral -> Neutral,0,0
35,490,502,13,321280,321292,osc_tag,Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear,Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Bear -> Neutral -> Bull,Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Bear -> Neutral -> Bull,0,0
36,504,548,45,321294,321343,ruleb_raw|osc|combo|osc_tag,Bear -> Bear -> Bull -> Bull -> Bull -> Bear -> Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bull -> Bear -> Bull -> Bear -> Bull -> Bull -> Bull -> Bear -> Bear -> Bear -> Bear -> Bull -> Bear -> Bull -> Bull -> Bull -> Bear -> Bull -> Bear -> Bear -> Bear -> Bull -> Bear -> Bear -> Bull -> Bull -> Bull -> Bull,Neutral -> Bull -> Neutral -> Bull -> Bear -> Bear -> Bear -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bull -> Bull -> Bear -> Neutral -> Bull -> Bear -> Neutral -> Bull -> Bear -> Bear -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral,Neutral -> Bull -> Neutral -> Bull -> Bear -> Bear -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bull -> Bull -> Bear -> Neutral -> Bull -> Bear -> Neutral -> Bull -> Bear -> Bear -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral,2,0
37,551,556,6,321345,321350,osc_tag,Bull -> Bear -> Bull -> Bull -> Bear -> Bull,Neutral -> Bull -> Bull -> Bear -> Bear -> Neutral,Neutral -> Bull -> Bull -> Bear -> Bear -> Neutral,0,0
