epoch,truth,pred_v22_base,pred_bear_raw,pred_bear_core_a,pred_bear_core_b,pred_bear_core_c,pred_bear_core_a_lite,trigger_bear_raw,trigger_bear_core_a,trigger_bear_core_b,trigger_bear_core_c,trigger_bear_core_a_lite,override_help_class_bear_raw,override_help_class_bear_core_a,override_help_class_bear_core_b,override_help_class_bear_core_c,override_help_class_bear_core_a_lite,override_side_class_bear_raw,override_side_class_bear_core_a,override_side_class_bear_core_b,override_side_class_bear_core_c,override_side_class_bear_core_a_lite,reason_bear_raw,reason_bear_core_a,reason_bear_core_b,reason_bear_core_c,reason_bear_core_a_lite,slow_retention,hinge_torsion,transition_score_v23,ruleb_raw_warning,ruleb_warn_count_3,phase_disagree_count_3,fs_disagree_count_3,fast_alt_3epoch,osc_core_count,osc_core_a,osc_core_b,osc_core_c,fan_width_velocity,fan_energy_total,energy_delta
320790,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.0746003603126155,0.2433110678775651,1,0,0,2,2,1,3,1,1,1,32.73338054890337,0.3618813584653253,-1.2561686239350818
320791,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.2087816300208942,0.5270063143061303,2,0,0,2,2,1,3,1,1,1,-8.654911095189163,0.5312582362712419,0.1693768778059166
320792,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.1375403330439439,0.8322233592788162,2,0,0,3,3,1,3,1,1,1,-1.1703438977565384,0.914215834094648,0.3829575978234061
320793,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.6440989897346299,0.5101778386277593,2,0,0,3,3,0,2,1,1,0,-12.743024137540488,1.1806606325062603,0.2664447984116123
320794,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,1.404570206970675,0.1562493496298519,1,1,1,3,3,0,2,1,1,0,-39.016971012664726,2.766903092749999,1.5862424602437386
320795,Bull,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.1509659933490184,0.3207623062891896,0,0,1,2,2,0,2,1,1,0,20.01083102467237,2.4905206984203687,-0.2763823943296302
320796,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.2594600727279612,0.2945362245635683,0,0,1,1,1,1,1,0,0,0,83.07793629192747,2.241392335992714,-0.2491283624276548
320797,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.4894753923254029,0.9925443182568292,2,0,0,1,1,0,0,0,0,0,-41.12074571936682,2.245296433662588,0.003904097669873874
320798,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.8484325220179016,0.6062292248442006,1,0,0,1,2,0,1,0,0,0,25.735335218545515,1.2761924754559004,-0.9691039582066874
320799,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.7585913377897668,1.0,2,0,0,2,3,0,2,1,1,0,-19.73223380575655,2.115754093083524,0.8395616176276235
