epoch,truth,pred_v22_base,pred_ruleb_raw,pred_ruleb_persist,pred_ruleb_osc,pred_ruleb_combo,trigger_ruleb_raw,trigger_ruleb_persist,trigger_ruleb_osc,trigger_ruleb_combo,override_help_class_ruleb_raw,override_help_class_ruleb_persist,override_help_class_ruleb_osc,override_help_class_ruleb_combo,reason_ruleb_raw,reason_ruleb_persist,reason_ruleb_osc,reason_ruleb_combo,slow_retention,hinge_torsion,transition_score_v23,ruleb_raw_warning,ruleb_persist_2,ruleb_persist_2of3,ruleb_persist_3of3,ruleb_warn_count_3,fast_alt_3epoch,fs_disagree_count_3,phase_disagree_count_3,polarity_inv_count_3,hinge_flip_count_3,energy_flip_count_3,width_rebound_pattern_3,width_monotonic_collapse_3,oscillation_score_v24,oscillation_warning_v24,fan_width_velocity,fan_energy_total,energy_delta,trigger_reason,trigger_detail
320774,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.1357741705742228,0.3090854451841213,1,0,0,0,0,0,0,2,2,0,0,2,0,0,3,1,-1.2859233241033508,0.4466671394729928,-0.30187601088073285,oscillation,"fs_disagree=2,phase_cnt=2,energy_flip=2"
320775,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.6362622931119404,0.1230550489516129,1,0,0,0,0,0,0,2,2,1,0,3,1,0,5,1,42.889795363546,1.9418902054621867,1.4952230659891939,oscillation,"fs_disagree=2,phase_cnt=2,polarity_cnt=1,energy_flip=3,width_rebound"
320776,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.2130720557179302,0.0837981272074662,0,0,0,0,0,0,0,1,1,1,0,3,1,0,3,1,-39.112959328325815,1.0581785609301733,-0.8837116445320135,oscillation,"polarity_cnt=1,energy_flip=3,width_rebound"
320777,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.3081585709915089,0.1458342750512485,1,0,0,0,0,0,0,1,1,1,0,2,1,0,3,1,5.767199211666593,1.0048148655241675,-0.05336369540600572,oscillation,"polarity_cnt=1,energy_flip=2,width_rebound"
320778,Bull,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,1.8215564478796296,0.0903075605035364,1,0,0,0,0,0,1,1,1,1,0,2,0,0,3,1,114.6978482072882,6.066865855944343,5.062050990420175,oscillation,"fast_alt,polarity_cnt=1,energy_flip=2"
320779,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,2.543712421304008,1.0,2,1,0,0,0,1,1,2,2,1,0,2,0,0,5,1,-62.17946413606114,3.594517761404859,-2.472348094539484,ruleb_raw|oscillation,"fast_alt,fs_disagree=2,phase_cnt=2,polarity_cnt=1,energy_flip=2"
320780,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.2873084660586755,0.2192586499741651,1,0,0,0,0,1,0,2,2,1,0,2,0,0,4,1,-63.04401019981015,2.251414632772139,-1.3431031286327197,oscillation,"fs_disagree=2,phase_cnt=2,polarity_cnt=1,energy_flip=2"
320781,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.811680590359174,0.137688581800899,1,0,0,0,0,1,0,3,2,1,0,2,0,0,4,1,41.79563346775831,2.31399440244968,0.06257976967754075,oscillation,"fs_disagree=3,phase_cnt=2,polarity_cnt=1,energy_flip=2"
320782,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,1.3631556842374266,0.2004005956099154,0,0,0,0,0,0,0,2,1,1,0,1,1,0,4,1,-108.87165348467532,2.369507967583558,0.055513565133878284,oscillation,"fs_disagree=2,polarity_cnt=1,energy_flip=1,width_rebound"
320783,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.2263390510524914,0.6226577506312078,1,0,0,0,0,0,0,1,0,1,0,1,1,0,3,1,59.96239319938468,3.1930078182776924,0.8234998506941342,oscillation,"polarity_cnt=1,energy_flip=1,width_rebound"
320784,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.973829298025521,1.0,2,1,0,0,0,1,0,1,1,0,0,1,1,0,2,1,-19.797905809333315,2.305253331682252,-0.8877544865954405,ruleb_raw|oscillation,"energy_flip=1,width_rebound"
320785,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.9224133815041567,0.1769615264938427,0,0,0,0,0,1,1,2,1,0,0,1,1,0,4,1,65.64680633916578,1.7768157382924985,-0.5284375933897534,oscillation,"fast_alt,fs_disagree=2,energy_flip=1,width_rebound"
